,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
0,2.0,1e-10,False,False,ac1,0.10473684210526316,0.10631578947368421,0.05105263157894737,0.10631578947368421,1.0
1,2.0,1e-10,False,False,ac1_thresh,0.10789473684210527,0.11368421052631579,0.05210526315789474,0.11368421052631579,1.0
2,2.0,1e-10,False,False,iqr,0.07736842105263157,0.08526315789473685,0.041578947368421056,0.08526315789473685,1.0
3,2.0,1e-10,False,False,iqr_thresh,0.08105263157894736,0.09105263157894737,0.04736842105263158,0.09105263157894737,1.0
4,2.0,1e-10,False,False,std_dev,0.09157894736842105,0.09368421052631579,0.06894736842105263,0.09368421052631579,1.0
5,2.0,1e-10,False,False,std_dev_thresh,0.09368421052631579,0.09,0.06947368421052631,0.09,1.0
6,2.0,1e-10,False,True,ac1,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
7,2.0,1e-10,False,True,ac1_thresh,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
8,2.0,1e-10,False,True,iqr,0.09,0.08315789473684211,0.08210526315789474,0.0,1.0
9,2.0,1e-10,False,True,iqr_thresh,0.09,0.08315789473684211,0.08210526315789474,0.0,1.0
10,2.0,1e-10,False,True,std_dev,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
11,2.0,1e-10,False,True,std_dev_thresh,0.09473684210526316,0.08736842105263158,0.08736842105263158,0.0,1.0
12,2.0,1e-10,True,False,ac1,0.10473684210526316,0.10631578947368421,0.05105263157894737,0.10631578947368421,1.0
13,2.0,1e-10,True,False,ac1_thresh,0.10789473684210527,0.11368421052631579,0.05210526315789474,0.11368421052631579,1.0
14,2.0,1e-10,True,False,iqr,0.07736842105263157,0.08526315789473685,0.041578947368421056,0.08526315789473685,1.0
15,2.0,1e-10,True,False,iqr_thresh,0.08105263157894736,0.09105263157894737,0.04736842105263158,0.09105263157894737,1.0
16,2.0,1e-10,True,False,std_dev,0.09157894736842105,0.09368421052631579,0.06894736842105263,0.09368421052631579,1.0
17,2.0,1e-10,True,False,std_dev_thresh,0.09368421052631579,0.09,0.06947368421052631,0.09,1.0
18,2.0,1e-10,True,True,ac1,0.0968421052631579,0.09052631578947369,0.09,0.0,1.0
