,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
0,0.5,1e-10,False,False,ac1,0.09,0.11,0.03,0.11,1.0
1,0.5,1e-10,False,False,ac1_thresh,0.02,0.08,0.01,0.08,1.0
2,0.5,1e-10,False,False,iqr,0.13,0.12,0.06,0.12,1.0
3,0.5,1e-10,False,False,iqr_thresh,0.11,0.12,0.08,0.12,1.0
4,0.5,1e-10,False,False,std_dev,0.13,0.1,0.08,0.1,1.0
5,0.5,1e-10,False,False,std_dev_thresh,0.08,0.06,0.07,0.06,1.0
6,0.5,1e-10,False,True,ac1,1.0,1.0,1.0,1.0,1.0
7,0.5,1e-10,False,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
8,0.5,1e-10,False,True,iqr,1.0,1.0,0.69,1.0,1.0
9,0.5,1e-10,False,True,iqr_thresh,0.94,1.0,0.79,1.0,1.0
10,0.5,1e-10,False,True,std_dev,1.0,1.0,0.95,1.0,1.0
11,0.5,1e-10,False,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
12,0.5,1e-10,True,False,ac1,0.1,0.1,0.03,0.1,1.0
13,0.5,1e-10,True,False,ac1_thresh,0.03,0.08,0.02,0.08,1.0
14,0.5,1e-10,True,False,iqr,0.13,0.12,0.06,0.12,1.0
15,0.5,1e-10,True,False,iqr_thresh,0.12,0.13,0.08,0.13,1.0
16,0.5,1e-10,True,False,std_dev,0.13,0.11,0.08,0.11,1.0
17,0.5,1e-10,True,False,std_dev_thresh,0.09,0.06,0.07,0.06,1.0
18,0.5,1e-10,True,True,ac1,1.0,1.0,1.0,1.0,1.0
19,0.5,1e-10,True,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
20,0.5,1e-10,True,True,iqr,1.0,1.0,0.68,1.0,1.0
21,0.5,1e-10,True,True,iqr_thresh,0.94,1.0,0.79,1.0,1.0
22,0.5,1e-10,True,True,std_dev,1.0,1.0,0.96,1.0,1.0
23,0.5,1e-10,True,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
24,0.5,1e-08,False,False,ac1,0.09183673469387756,0.10204081632653061,0.02040816326530612,0.10204081632653061,0.98
25,0.5,1e-08,False,False,ac1_thresh,0.030612244897959183,0.07142857142857142,0.01020408163265306,0.07142857142857142,0.98
26,0.5,1e-08,False,False,iqr,0.1326530612244898,0.12244897959183673,0.05102040816326531,0.12244897959183673,0.98
27,0.5,1e-08,False,False,iqr_thresh,0.09183673469387756,0.09183673469387756,0.05102040816326531,0.09183673469387756,0.98
28,0.5,1e-08,False,False,std_dev,0.1326530612244898,0.11224489795918367,0.08163265306122448,0.11224489795918367,0.98
29,0.5,1e-08,False,False,std_dev_thresh,0.05102040816326531,0.061224489795918366,0.04081632653061224,0.061224489795918366,0.98
30,0.5,1e-08,False,True,ac1,1.0,0.9897959183673469,1.0,0.9897959183673469,0.98
31,0.5,1e-08,False,True,ac1_thresh,0.9897959183673469,1.0,0.9897959183673469,1.0,0.98
32,0.5,1e-08,False,True,iqr,0.9183673469387755,1.0,0.5918367346938775,1.0,0.98
33,0.5,1e-08,False,True,iqr_thresh,0.8673469387755102,1.0,0.7142857142857143,1.0,0.98
34,0.5,1e-08,False,True,std_dev,0.9183673469387755,1.0,0.8571428571428571,1.0,0.98
35,0.5,1e-08,False,True,std_dev_thresh,1.0,1.0,0.9897959183673469,1.0,0.98
36,0.5,1e-08,True,False,ac1,0.09278350515463918,0.10309278350515463,0.020618556701030927,0.10309278350515463,0.97
37,0.5,1e-08,True,False,ac1_thresh,0.041237113402061855,0.07216494845360824,0.010309278350515464,0.07216494845360824,0.97
38,0.5,1e-08,True,False,iqr,0.14432989690721648,0.12371134020618557,0.061855670103092786,0.12371134020618557,0.97
39,0.5,1e-08,True,False,iqr_thresh,0.1134020618556701,0.12371134020618557,0.061855670103092786,0.12371134020618557,0.97
40,0.5,1e-08,True,False,std_dev,0.15463917525773196,0.1134020618556701,0.08247422680412371,0.1134020618556701,0.97
