,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
0,0.5,1e-10,False,ac1,1.0,1.0,1.0,1.0,1.0
1,0.5,1e-10,False,iqr,1.0,1.0,0.86,1.0,1.0
2,0.5,1e-10,False,std_dev,0.99,1.0,0.88,1.0,1.0
3,0.5,1e-10,True,ac1,1.0,1.0,1.0,1.0,1.0
4,0.5,1e-10,True,iqr,1.0,1.0,0.85,1.0,1.0
5,0.5,1e-10,True,std_dev,0.98,1.0,0.88,1.0,1.0
6,0.5,1e-08,False,ac1,1.0,1.0,1.0,1.0,1.0
7,0.5,1e-08,False,iqr,1.0,1.0,0.85,1.0,1.0
8,0.5,1e-08,False,std_dev,0.9,1.0,0.79,1.0,1.0
9,0.5,1e-08,True,ac1,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.98
10,0.5,1e-08,True,iqr,0.9897959183673469,0.9897959183673469,0.8367346938775511,0.9897959183673469,0.98
11,0.5,1e-08,True,std_dev,0.8979591836734694,0.9897959183673469,0.8163265306122449,0.9897959183673469,0.98
12,0.5,1e-06,False,ac1,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.86
13,0.5,1e-06,False,iqr,0.9651162790697675,0.9651162790697675,0.7558139534883721,0.9651162790697675,0.86
14,0.5,1e-06,False,std_dev,0.46511627906976744,0.9651162790697675,0.3488372093023256,0.9651162790697675,0.86
15,0.5,1e-06,True,ac1,0.95,0.9625,0.95,0.9625,0.8
16,0.5,1e-06,True,iqr,0.9625,0.9625,0.7125,0.9625,0.8
17,0.5,1e-06,True,std_dev,0.5,0.9625,0.2625,0.9625,0.8
18,0.5,0.0001,False,ac1,0.825,0.85,0.85,0.85,0.4
19,0.5,0.0001,False,iqr,0.85,0.8,0.3,0.8,0.4
20,0.5,0.0001,False,std_dev,0.075,0.675,0.0,0.675,0.4
21,0.5,0.0001,True,ac1,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.17
22,0.5,0.0001,True,iqr,0.7647058823529411,0.7647058823529411,0.29411764705882354,0.7647058823529411,0.17
23,0.5,0.0001,True,std_dev,0.0,0.5882352941176471,0.0,0.5882352941176471,0.17
24,0.5,0.001,False,ac1,0.5,0.8333333333333334,0.5,0.8333333333333334,0.06
25,0.5,0.001,False,iqr,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.06
26,0.5,0.001,False,std_dev,0.0,0.0,0.0,0.0,0.06
27,0.5,0.001,True,ac1,0.5,0.5,0.5,0.5,0.02
28,0.5,0.001,True,iqr,0.5,0.5,0.0,0.5,0.02
29,0.5,0.001,True,std_dev,0.0,0.0,0.0,0.0,0.02
30,0.75,1e-10,False,ac1,1.0,1.0,1.0,1.0,1.0
31,0.75,1e-10,False,iqr,1.0,1.0,0.86,1.0,1.0
32,0.75,1e-10,False,std_dev,1.0,1.0,0.91,1.0,1.0
33,0.75,1e-10,True,ac1,1.0,1.0,1.0,1.0,1.0
34,0.75,1e-10,True,iqr,1.0,1.0,0.86,1.0,1.0
35,0.75,1e-10,True,std_dev,1.0,1.0,0.91,1.0,1.0
36,0.75,1e-08,False,ac1,1.0,1.0,1.0,1.0,1.0
37,0.75,1e-08,False,iqr,1.0,1.0,0.86,1.0,1.0
38,0.75,1e-08,False,std_dev,1.0,1.0,0.91,1.0,1.0
39,0.75,1e-08,True,ac1,1.0,1.0,1.0,1.0,1.0
40,0.75,1e-08,True,iqr,1.0,1.0,0.86,1.0,1.0
41,0.75,1e-08,True,std_dev,1.0,1.0,0.91,1.0,1.0
42,0.75,1e-06,False,ac1,1.0,1.0,1.0,1.0,1.0
43,0.75,1e-06,False,iqr,1.0,1.0,0.84,1.0,1.0
44,0.75,1e-06,False,std_dev,0.95,1.0,0.85,1.0,1.0
45,0.75,1e-06,True,ac1,1.0,1.0,1.0,1.0,1.0
46,0.75,1e-06,True,iqr,1.0,1.0,0.85,1.0,1.0
47,0.75,1e-06,True,std_dev,0.92,1.0,0.84,1.0,1.0
48,0.75,0.0001,False,ac1,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.96
49,0.75,0.0001,False,iqr,0.9895833333333334,0.9895833333333334,0.7291666666666666,0.9895833333333334,0.96
50,0.75,0.0001,False,std_dev,0.3125,0.9791666666666666,0.20833333333333334,0.9791666666666666,0.96
51,0.75,0.0001,True,ac1,0.9662921348314607,0.9662921348314607,0.9662921348314607,0.9662921348314607,0.89
52,0.75,0.0001,True,iqr,0.9662921348314607,0.9775280898876404,0.7078651685393258,0.9775280898876404,0.89
53,0.75,0.0001,True,std_dev,0.38202247191011235,0.9775280898876404,0.12359550561797752,0.9775280898876404,0.89
54,0.75,0.001,False,ac1,0.9375,0.9375,0.925,0.9375,0.8
55,0.75,0.001,False,iqr,0.9125,0.925,0.3625,0.925,0.8
56,0.75,0.001,False,std_dev,0.0875,0.8,0.0,0.8,0.8
57,0.75,0.001,True,ac1,0.9130434782608695,0.9420289855072463,0.9130434782608695,0.9420289855072463,0.69
