,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
0,2.0,1e-10,False,False,ac1,0.11,0.13,0.05,0.13,1.0
1,2.0,1e-10,False,False,ac1_thresh,0.03,0.05,0.01,0.05,1.0
2,2.0,1e-10,False,False,iqr,0.12,0.08,0.04,0.08,1.0
3,2.0,1e-10,False,False,iqr_thresh,0.08,0.07,0.01,0.07,1.0
4,2.0,1e-10,False,False,std_dev,0.12,0.12,0.06,0.12,1.0
5,2.0,1e-10,False,False,std_dev_thresh,0.04,0.02,0.01,0.02,1.0
6,2.0,1e-10,False,True,ac1,1.0,1.0,1.0,1.0,1.0
7,2.0,1e-10,False,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
8,2.0,1e-10,False,True,iqr,1.0,1.0,0.72,1.0,1.0
9,2.0,1e-10,False,True,iqr_thresh,0.94,1.0,0.75,1.0,1.0
10,2.0,1e-10,False,True,std_dev,1.0,1.0,0.91,1.0,1.0
11,2.0,1e-10,False,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
12,2.0,1e-10,True,False,ac1,0.11,0.13,0.05,0.13,1.0
13,2.0,1e-10,True,False,ac1_thresh,0.03,0.05,0.01,0.05,1.0
14,2.0,1e-10,True,False,iqr,0.12,0.08,0.04,0.08,1.0
15,2.0,1e-10,True,False,iqr_thresh,0.08,0.07,0.01,0.07,1.0
16,2.0,1e-10,True,False,std_dev,0.12,0.12,0.06,0.12,1.0
17,2.0,1e-10,True,False,std_dev_thresh,0.04,0.02,0.01,0.02,1.0
18,2.0,1e-10,True,True,ac1,1.0,1.0,1.0,1.0,1.0
19,2.0,1e-10,True,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
20,2.0,1e-10,True,True,iqr,1.0,1.0,0.72,1.0,1.0
21,2.0,1e-10,True,True,iqr_thresh,0.94,1.0,0.75,1.0,1.0
22,2.0,1e-10,True,True,std_dev,1.0,1.0,0.91,1.0,1.0
23,2.0,1e-10,True,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
24,2.0,1e-08,False,False,ac1,0.11,0.13,0.05,0.13,1.0
25,2.0,1e-08,False,False,ac1_thresh,0.03,0.05,0.01,0.05,1.0
26,2.0,1e-08,False,False,iqr,0.12,0.08,0.04,0.08,1.0
27,2.0,1e-08,False,False,iqr_thresh,0.08,0.07,0.01,0.07,1.0
